pet_id,customer_id,breed,birth_date,gender,weight_kg,neutered,allergies,feeding_purpose,diet_preference,food_form_preference,updated_at
P0001,C0001,시츄,2013-07-18,F,5.0,0,곡물,다이어트,보통,건식,2026-08-11
P0002,C0002,시츄,2021-09-20,F,6.8,1,없음,피부,식이까다로움,건식,2026-08-11
P0003,C0003,비숑프리제,2014-10-05,F,3.4,1,없음,관절,식탐많음,습식,2026-08-11
P0004,C0004,코카스파니엘,2015-08-18,F,10.9,1,없음,다이어트,식이까다로움,혼합,2026-08-11
P0005,C0005,치와와,2020-01-11,F,1.9,1,닭고기|유제품,관절,식탐많음,습식,2026-08-11
P0006,C0006,포메라니안,2015-03-15,M,2.3,1,닭고기,관절,식탐많음,습식,2026-08-11
P0007,C0006,말티즈,2017-12-10,F,3.7,1,없음,없음,식탐많음,건식,2026-08-11
P0008,C0007,시바견,2024-05-10,M,9.1,1,곡물|소고기,없음,보통,건식,2026-08-11
P0009,C0007,래브라도리트리버,2013-10-17,M,36.0,1,곡물,다이어트,식이까다로움,혼합,2026-08-11
P0010,C0008,시츄,2015-05-16,F,7.3,1,없음,없음,보통,혼합,2026-08-11
P0011,C0009,래브라도리트리버,2016-10-11,M,27.8,1,소고기,관절,식탐많음,혼합,2026-08-11
P0012,C0009,골든리트리버,2013-03-16,F,30.3,0,없음,없음,식탐많음,건식,2026-08-11
P0013,C0009,치와와,2022-03-29,M,1.7,0,곡물|소고기,없음,식탐많음,혼합,2026-08-11
P0014,C0010,시바견,2022-08-18,M,8.1,0,없음,피부,식탐많음,건식,2026-08-11
P0015,C0011,보더콜리,2015-11-07,F,19.0,1,없음,다이어트,식탐많음,혼합,2026-08-11
P0016,C0012,보더콜리,2017-05-14,M,19.8,0,없음,관절,식이까다로움,혼합,2026-08-11
P0017,C0013,포메라니안,2017-12-18,F,2.5,1,닭고기,다이어트,식이까다로움,혼합,2026-08-11
P0018,C0014,말티즈,2019-08-27,F,3.0,1,없음,없음,식탐많음,건식,2026-08-11
P0019,C0015,진돗개,2017-07-12,F,20.0,1,곡물,피부,식이까다로움,건식,2026-08-11
P0020,C0016,시바견,2025-04-15,M,8.1,1,없음,다이어트,보통,혼합,2026-08-11
P0021,C0016,진돗개,2013-02-21,F,19.9,1,닭고기|소고기,다이어트,보통,건식,2026-08-11
P0022,C0017,웰시코기,2011-10-15,M,11.2,0,유제품,없음,식탐많음,습식,2026-08-11
P0023,C0018,시츄,2018-02-11,F,7.1,1,소고기,관절,보통,혼합,2026-08-11
P0024,C0018,시바견,2013-03-23,M,11.0,0,없음,없음,식이까다로움,습식,2026-08-11
P0025,C0018,보더콜리,2015-06-18,F,18.0,0,없음,다이어트,식이까다로움,건식,2026-08-11
P0026,C0019,진돗개,2013-11-09,F,17.1,0,없음,피부,보통,습식,2026-08-11
P0027,C0019,포메라니안,2020-08-05,F,2.3,0,닭고기|유제품,없음,식탐많음,건식,2026-08-11
P0028,C0019,비글,2013-07-14,M,12.4,1,곡물|닭고기|소고기,피부,식탐많음,건식,2026-08-11
P0029,C0020,시츄,2011-12-22,F,4.3,1,유제품,피부,보통,건식,2026-08-11
P0030,C0021,시츄,2025-02-02,F,7.6,1,닭고기,피부,식탐많음,습식,2026-08-11
P0031,C0021,시바견,2019-02-28,F,10.7,1,없음,관절,식탐많음,습식,2026-08-11
P0032,C0022,진돗개,2017-02-06,M,15.6,1,소고기,피부,식탐많음,습식,2026-08-11
P0033,C0023,비숑프리제,2022-02-17,F,5.8,1,닭고기,다이어트,식탐많음,혼합,2026-08-11
P0034,C0024,말티즈,2015-07-01,F,3.6,1,없음,다이어트,식탐많음,건식,2026-08-11
P0035,C0025,치와와,2013-03-30,F,2.6,0,없음,없음,식이까다로움,건식,2026-08-11
P0036,C0025,치와와,2018-09-21,F,2.5,1,없음,없음,식탐많음,건식,2026-08-11
P0037,C0026,시츄,2017-11-18,M,7.6,1,유제품,없음,보통,혼합,2026-08-11
P0038,C0027,웰시코기,2018-01-04,F,13.6,0,소고기,없음,식탐많음,혼합,2026-08-11
P0039,C0028,코카스파니엘,2016-05-09,M,12.5,0,소고기,없음,식이까다로움,습식,2026-08-11
P0040,C0029,시바견,2015-03-30,F,9.3,1,없음,다이어트,보통,건식,2026-08-11
P0041,C0030,보더콜리,2015-01-13,M,14.3,0,닭고기,없음,보통,건식,2026-08-11
P0042,C0030,시바견,2016-02-19,M,10.6,1,없음,없음,보통,혼합,2026-08-11
P0043,C0031,비글,2013-03-17,M,13.8,0,없음,피부,식탐많음,습식,2026-08-11
P0044,C0031,말티즈,2014-05-17,M,3.7,1,곡물,없음,식이까다로움,습식,2026-08-11
P0045,C0032,보더콜리,2021-02-07,F,14.4,0,곡물|소고기,없음,식탐많음,습식,2026-08-11
P0046,C0033,시츄,2024-10-05,F,5.0,1,곡물|소고기,피부,보통,건식,2026-08-11
P0047,C0034,시츄,2022-05-17,F,5.2,1,유제품,없음,보통,혼합,2026-08-11
P0048,C0034,시바견,2014-10-04,M,8.8,0,소고기,피부,식이까다로움,건식,2026-08-11
