purchase_id,customer_id,pet_id,product_id,category,breed,size_category,weight_kg,age_group,age_years,allergy,health_condition,purchased_at,quantity,rating,review,is_holdout
O00001,C0001,P0001,F0182,간식,토이푸들,소형,6.4,시니어,11.7,,,2026-05-29,1,4,치석 관리용으로 알아보다 샀어요. 치석 제거 효과가 있는지 이빨이 깨끗해졌어요.,1
O00002,C0002,P0002,F0087,사료,허스키,대형,35.3,성견,2.4,,관절이 약함,2026-02-07,1,4,첫 사료라 고민 많이 하다가 골랐어요. 밥 시간마다 꼬리를 흔들면서 달려와요. 사료 그릇을 핥아먹을 정도로 좋아해요. 강력 추천해요.,0
O00003,C0002,P0002,F0035,사료,허스키,대형,35.3,성견,2.4,,관절이 약함,2026-05-31,2,5,곡물 알레르기 있어서 곡물프리로 알아보다 구매했어요. 물에 불리지 않아도 잘 먹어요. 대형견이라 그런지 양이 금방 줄어요.,1
O00004,C0003,P0003,F0080,사료,미니어처닥스훈트,소형,5.4,성견,2.5,,,2025-05-04,1,3,다른 사료 다 먹여봤는데 이게 제일 잘 맞아서 재구매했어요. 무난하게 먹입니다. 그냥 그래요. 무난하게 급여 중입니다.,0
O00005,C0003,P0003,F0143,간식,미니어처닥스훈트,소형,5.4,성견,2.5,,,2025-10-09,3,2,여행 갈 때 간식으로 챙기려고 샀어요. 몇 입 먹다가 흥미를 잃어요. 너무 딱딱해서 잘 못 씹어요. 허리가 약한 아이라 체중 관리에 신경 쓰는데 도움이 되는 것 같아요.,0
O00006,C0003,P0003,F0175,간식,미니어처닥스훈트,소형,5.4,성견,2.5,,,2025-11-17,1,5,장난감 대신 씹을 거리로 골랐어요. 한 개 주면 더 달라고 계속 쳐다봐요. 편식하는 아이도 이건 잘 먹어요. 입이 작은 아이라 한 번에 많이는 못 먹어요. 강아지들 사이에서 인기템이에요.,1
O00007,C0004,P0004,F0043,사료,도베르만,대형,30.8,퍼피,0.5,,,2023-10-02,3,5,대용량으로 시켜봤어요. 그릇 비우는 속도가 달라졌어요. 변 상태가 훨씬 단단해졌어요. 효과가 좋아서 재구매 의사 있어요.,0
O00008,C0004,P0004,F0182,간식,도베르만,대형,30.8,퍼피,0.5,,,2025-03-02,1,4,심심할 때 주려고 대용량으로 샀어요. 잘 먹는데 부스러기가 너무 많이 떨어져요.,0
O00009,C0004,P0004,F0035,사료,도베르만,대형,30.8,퍼피,0.5,,,2025-06-05,1,5,우리 아이가 정말 잘 먹어요. 성장기라 그런지 잘 먹고 살도 오르는 것 같아요ㅎㅎ,0
O00010,C0004,P0004,F0095,사료,도베르만,대형,30.8,퍼피,0.5,,,2025-11-19,1,4,리뷰 좋길래 반신반의로 시켜봤어요. 장이 편안한지 컨디션이 좋아 보여요. 털에 윤기가 도는 게 눈에 보여요. 주변 강아지 친구들에게도 추천했어요.,0
