pet_id,allergen_id
1,21
3,35
4,40
4,41
5,25
6,41
7,8
8,24
11,30
12,8
14,25
14,45
14,46
14,47
17,21
22,26
22,27
22,28
22,29
22,30
22,31
22,32
22,33
22,34
22,35
24,35
25,29
26,37
26,42
26,43
26,44
26,48
26,49
27,12
27,19
27,20
27,21
27,22
30,44
35,30
38,16
43,26
43,27
43,28
43,29
43,30
43,31
43,32
43,33
43,34
43,35
44,6
47,43
48,21
49,4
50,34
53,22
53,35
57,38
59,21
62,10
63,38
64,13
64,42
64,43
64,44
64,48
64,49
65,32
66,1
66,2
66,3
66,4
66,5
66,6
66,7
66,8
66,9
66,10
66,11
66,12
66,13
66,14
66,15
66,16
66,17
66,18
66,19
66,20
66,21
66,22
66,23
66,24
66,25
66,36
66,37
66,38
66,39
70,27
70,28
70,29
70,30
70,47
75,1
75,2
75,3
75,4
75,5
75,6
75,7
75,8
75,9
75,10
75,11
75,12
75,13
75,14
75,15
75,16
75,17
75,18
75,19
75,20
75,21
75,22
75,23
75,24
75,25
76,49
80,23
80,24
80,44
86,45
86,46
86,47
88,6
94,4
97,34
97,40
97,41
99,31
99,32
99,33
99,34
99,35
101,29
102,4
103,32
104,39
105,32
107,6
107,47
108,22
110,5
113,1
113,2
113,3
113,4
113,5
113,6
113,7
113,8
113,9
113,10
113,11
113,12
113,13
113,14
113,15
113,16
113,17
113,18
113,19
113,20
113,21
113,22
113,23
113,24
113,25
116,44
119,4
119,35
121,3
121,4
121,5
121,6
121,37
122,33
125,16
126,19
126,20
126,21
126,22
129,5
131,20
131,36
131,37
131,38
131,39
139,39
140,19
140,20
140,21
140,22
140,40
140,41
142,1
142,2
142,3
142,4
142,5
142,6
142,7
142,8
142,9
142,10
142,11
142,12
142,13
142,14
142,15
142,16
142,17
142,18
142,19
142,20
142,21
142,22
142,23
142,24
142,25
143,4
143,29
144,13
144,18
146,26
146,27
146,28
146,29
146,30
146,31
146,32
146,33
146,34
146,35
147,5
147,22
148,37
149,34
151,20
155,36
155,37
155,38
155,39
162,1
162,2
162,3
162,4
162,5
162,6
162,7
162,8
162,9
162,10
162,11
162,12
162,13
162,14
162,15
162,16
162,17
162,18
162,19
162,20
162,21
162,22
162,23
162,24
162,25
164,25
169,5
174,8
174,19
174,20
174,21
174,22
175,41
178,36
178,37
178,38
178,39
182,8
185,17
190,48
194,3
194,4
194,5
194,6
195,4
197,25
200,16
201,32
201,35
202,21
202,35
205,33
207,27
207,28
207,29
207,30
220,49
221,22
223,32
224,23
224,24
224,46
225,46
228,23
228,24
229,4
232,33
234,34
235,21
238,42
238,43
238,44
238,48
238,49
240,46
242,18
244,29
245,7
245,8
245,9
245,10
246,45
246,46
246,47
248,6
252,5
258,38
262,15
262,16
262,17
262,18
263,32
270,44
271,7
271,8
271,9
271,10
271,27
271,28
271,29
271,30
273,34
275,1
275,2
275,3
275,4
275,5
275,6
275,7
275,8
275,9
275,10
275,11
275,12
275,13
275,14
275,15
275,16
275,17
275,18
275,19
275,20
275,21
275,22
275,23
275,24
275,25
275,41
277,41
279,32
280,5
280,22
283,37
284,45
284,46
284,47
285,15
285,16
285,17
285,18
285,19
285,20
285,21
285,22
288,11
288,12
288,13
288,14
290,17
291,34
292,7
292,8
292,9
292,10
292,28
293,41
298,45
298,46
298,47
299,43
300,12
301,49
302,20
302,42
302,43
302,44
302,48
302,49
304,14
304,44
305,16
307,21
308,29
310,17
311,29
321,43
324,20
327,48
330,13
332,40
332,41
334,24
336,38
340,16
340,47
347,42
347,43
347,44
347,48
347,49
349,26
349,27
349,28
349,29
349,30
349,31
349,32
349,33
349,34
349,35
349,39
350,48
352,46
353,22
354,29
357,20
359,17
360,39
362,16
362,28
363,33
365,24
366,21
367,39
