pet_id,breed_id
1,4
2,31
3,1
4,21
5,23
5,20
6,16
7,10
8,5
9,2
10,24
12,6
13,3
15,24
16,14
17,4
19,13
20,21
21,7
21,6
21,19
22,24
23,24
23,35
24,8
26,8
27,8
29,22
30,24
31,24
31,25
32,15
32,3
33,18
34,24
35,7
36,8
37,4
38,24
39,29
40,5
40,8
41,24
42,24
43,4
44,24
44,32
45,19
45,23
46,19
46,15
47,23
48,16
48,2
49,23
49,11
50,15
51,28
52,7
53,19
54,22
55,7
55,18
56,28
57,9
57,19
58,12
59,6
60,13
60,10
61,2
62,18
63,9
64,35
65,6
65,15
67,30
68,27
69,5
70,4
71,7
71,19
72,3
73,24
73,35
74,24
75,22
75,3
76,26
77,24
77,32
78,32
78,24
79,16
81,24
82,10
82,22
84,20
85,21
86,18
88,11
90,1
91,34
92,24
93,3
94,31
95,8
95,5
96,18
97,22
97,16
98,9
98,14
99,14
100,1
101,10
102,23
102,6
104,11
105,30
106,1
107,15
108,24
108,31
109,20
109,12
110,28
111,10
112,5
113,7
113,20
114,8
115,6
115,4
117,4
117,16
118,4
119,21
119,7
119,13
120,11
121,4
122,19
124,24
125,1
126,24
127,31
128,12
130,13
131,20
132,13
132,9
133,19
134,16
135,26
136,3
137,5
137,7
138,23
139,1
140,31
141,24
142,21
143,3
144,8
146,18
147,4
147,22
149,20
150,18
151,12
152,21
154,21
155,19
156,1
156,23
157,20
157,23
158,15
158,16
159,28
160,15
161,6
161,10
162,10
163,18
164,10
164,14
165,1
167,15
168,16
169,13
170,13
170,2
171,4
171,13
172,14
172,8
173,19
174,1
175,4
177,13
178,4
179,12
179,2
180,19
181,4
181,6
182,13
183,13
183,22
184,10
184,16
185,10
187,11
188,8
190,11
190,9
191,28
192,29
193,6
194,11
194,23
195,13
196,22
197,23
197,20
198,24
199,6
200,2
201,22
202,8
203,22
204,9
205,23
206,5
207,3
208,11
209,1
210,12
211,17
212,23
212,14
213,25
215,5
216,24
217,17
218,22
218,8
219,28
220,18
221,18
222,17
222,23
223,28
224,5
226,5
226,7
227,17
229,25
230,18
231,2
231,10
232,20
233,35
234,7
236,11
237,24
238,3
240,11
240,9
241,31
242,19
243,26
244,10
245,21
245,4
247,7
247,3
247,11
248,35
249,7
251,22
252,17
253,21
253,20
254,13
255,1
256,5
257,22
258,21
259,1
260,22
260,11
261,23
261,5
262,5
262,10
264,12
264,20
265,9
265,19
265,13
266,5
267,18
267,5
268,17
269,11
270,15
271,15
272,25
273,19
274,6
274,13
275,12
276,1
277,24
279,27
280,19
281,25
282,30
283,10
284,16
284,14
285,20
286,7
287,18
288,7
289,29
290,22
291,17
292,18
293,23
294,18
295,34
296,21
297,30
298,21
298,3
299,22
299,8
300,12
301,18
301,12
302,24
303,5
304,24
305,12
308,10
309,17
310,23
311,7
312,5
313,29
314,22
315,24
316,19
317,19
318,13
319,24
320,4
321,24
323,33
324,11
325,7
325,11
326,19
327,30
328,12
328,21
329,5
330,11
331,7
332,12
332,19
333,20
334,11
334,17
335,6
336,17
337,21
338,8
338,17
339,23
340,18
341,10
341,1
342,24
343,7
344,24
345,24
346,1
346,4
346,2
347,14
348,9
349,4
350,24
351,16
351,2
352,3
353,11
354,10
355,3
356,35
357,5
358,2
358,10
358,3
359,2
360,10
361,12
362,19
364,28
365,16
367,24
368,1
