product_id,feeding_purpose_id
1,5
2,2
3,1
4,1
4,5
5,2
6,4
8,3
8,6
9,4
9,6
11,5
13,6
14,1
16,3
17,2
17,6
18,1
19,3
21,3
23,1
23,4
24,6
25,2
26,2
26,3
26,4
27,2
28,1
29,6
30,1
31,2
32,1
35,6
37,4
38,3
38,4
38,6
39,2
39,6
40,3
41,4
41,6
42,2
45,2
46,3
47,2
49,2
49,3
50,2
50,6
51,5
52,1
53,3
54,2
56,6
57,1
58,6
59,5
60,3
60,4
60,6
61,1
65,3
65,6
67,1
67,5
69,2
69,5
70,3
71,1
74,2
74,4
75,1
76,2
76,4
77,4
77,6
79,1
79,4
79,5
80,3
80,6
81,1
82,5
83,5
84,1
85,1
86,5
87,4
87,6
88,2
89,6
91,1
92,3
93,4
94,6
96,1
96,4
97,4
100,3
102,1
102,3
103,3
105,3
106,1
106,4
106,5
107,3
107,6
108,1
109,3
110,2
110,6
111,2
111,4
112,6
113,3
114,3
114,5
115,5
116,4
116,6
117,5
119,1
120,3
120,4
120,6
121,5
121,6
122,2
122,5
123,5
123,6
125,1
125,2
130,2
131,3
133,5
135,2
136,1
136,6
137,3
137,4
138,1
138,5
139,1
139,2
142,6
143,3
143,5
144,4
144,5
144,6
145,2
146,5
147,2
147,4
148,3
149,2
150,2
151,4
151,5
151,6
152,3
154,3
155,1
155,3
156,1
156,3
159,5
159,6
160,3
160,4
161,4
162,4
163,4
163,5
164,4
165,3
165,4
166,6
167,1
169,1
170,4
170,5
172,1
173,5
174,1
174,2
175,2
176,2
176,4
177,1
177,2
178,3
180,1
180,2
182,3
183,3
184,3
184,6
188,3
190,2
190,3
190,4
191,1
191,3
192,4
193,1
193,4
194,1
195,1
196,1
196,6
197,2
199,1
199,2
199,4
