product_id,feeding_purpose_id
1,6
2,2
3,1
3,3
4,1
5,1
5,6
6,3
7,6
8,3
8,5
9,5
10,5
10,6
12,1
13,3
14,6
15,2
15,3
16,4
16,6
17,1
18,5
19,2
20,3
21,5
21,6
22,5
23,5
23,6
24,1
27,1
27,6
28,5
32,2
32,5
33,5
34,3
34,5
37,1
38,3
38,4
38,5
39,1
40,1
40,4
41,3
42,1
43,2
43,3
44,1
44,3
46,1
46,6
47,4
47,5
50,2
50,4
51,1
51,5
52,2
52,6
54,1
54,4
54,5
55,1
56,1
56,2
57,2
58,6
59,6
61,2
66,6
67,4
67,6
69,2
70,2
71,2
72,2
72,3
74,1
74,2
75,3
75,4
76,2
76,4
77,1
77,3
77,4
78,3
78,5
79,1
79,4
80,3
81,2
81,3
81,4
82,4
83,3
84,1
84,2
85,3
86,1
86,4
86,6
87,1
88,3
88,5
89,1
90,1
90,4
90,6
91,3
92,6
93,6
94,1
96,2
97,3
98,5
99,1
99,5
100,5
101,3
103,5
104,3
106,1
107,1
107,3
108,5
108,6
111,2
112,2
113,3
114,1
114,6
116,6
118,4
119,1
119,2
121,3
121,5
123,2
124,4
124,5
125,3
126,2
129,2
129,5
130,3
131,1
132,1
132,5
133,2
133,3
136,2
138,1
138,4
139,3
139,4
140,2
140,5
141,1
141,5
142,1
142,4
143,3
143,4
144,2
144,5
145,3
145,5
146,2
147,1
148,3
151,3
152,1
153,1
153,2
154,1
155,1
156,3
158,5
161,2
162,2
163,4
164,4
165,1
166,5
166,6
167,1
168,5
169,4
170,1
171,6
172,2
172,4
173,4
173,5
176,6
177,6
178,2
179,2
179,4
180,1
181,5
181,6
183,2
183,4
184,3
185,6
189,5
190,3
190,4
192,6
194,5
195,3
196,1
196,5
197,5
198,5
