product_id,ingredient_id
1,5
1,9
1,10
1,34
1,35
2,6
2,24
3,10
3,19
3,20
3,27
3,31
3,53
3,57
4,6
4,42
4,56
5,2
5,4
5,30
5,57
6,6
6,37
6,39
6,45
7,6
7,8
7,12
7,19
7,45
8,8
8,23
9,7
9,9
9,12
10,18
10,55
11,10
11,42
11,47
11,48
12,6
12,12
12,27
12,35
12,47
13,14
13,29
13,32
13,42
13,44
13,48
13,54
14,9
14,11
14,26
14,33
14,55
15,10
15,15
15,26
15,44
15,53
15,54
16,3
16,14
16,17
16,27
16,31
16,42
17,6
17,11
17,12
17,19
17,32
18,7
18,16
18,21
18,33
18,34
18,43
18,45
19,1
19,4
19,30
19,34
19,54
20,10
20,15
20,19
20,40
21,3
21,4
21,6
21,28
21,31
22,2
22,7
22,18
22,20
22,26
22,31
22,51
22,53
23,5
23,10
23,12
23,57
24,16
24,17
24,50
24,56
25,2
25,6
25,29
25,30
25,46
26,5
26,37
26,48
27,5
27,9
27,11
27,28
27,33
28,1
28,21
29,8
29,12
29,16
29,25
29,33
29,36
29,39
30,11
30,17
30,41
30,45
31,6
31,22
31,25
31,53
32,3
32,11
32,48
32,52
33,4
33,8
33,13
33,15
33,48
34,14
34,16
34,50
34,51
35,13
35,14
35,16
36,6
36,31
36,36
37,2
37,5
37,10
37,20
37,22
38,16
38,45
39,5
39,10
39,22
39,43
39,51
39,56
40,5
40,27
40,35
40,53
41,7
41,20
41,45
41,57
42,1
42,4
42,12
42,17
42,51
43,11
43,18
43,37
43,47
44,3
44,11
44,19
45,10
45,26
45,31
45,35
45,45
45,48
46,22
46,55
46,57
47,2
47,12
47,29
47,34
47,47
48,41
48,47
48,52
49,5
49,27
49,37
49,47
49,49
49,50
49,53
50,2
50,9
50,15
50,27
50,46
50,54
51,1
51,23
51,28
51,45
51,48
52,6
52,15
52,25
52,29
53,4
53,10
53,26
53,28
53,33
54,11
54,15
54,36
54,45
54,47
55,10
55,57
56,5
56,9
56,33
56,52
57,6
57,33
57,34
57,45
58,30
58,32
58,45
58,47
59,4
59,7
59,34
59,35
59,47
59,49
60,13
60,16
60,41
61,6
61,8
61,14
61,23
61,31
62,14
62,41
62,43
62,45
62,46
63,6
63,8
63,22
63,30
63,34
63,46
63,55
64,3
64,24
64,29
64,30
65,1
65,2
65,47
65,53
65,56
66,5
66,9
66,43
66,48
66,50
66,56
67,1
67,9
67,12
67,22
67,25
68,1
68,5
68,28
68,34
68,43
68,49
68,50
69,9
69,26
69,28
69,35
69,44
69,55
70,3
70,12
70,55
70,56
71,2
71,38
71,40
72,5
72,12
72,48
73,1
74,2
74,12
74,14
74,42
74,43
74,45
75,1
75,5
75,6
75,28
76,6
76,8
76,44
77,12
77,41
77,45
78,12
78,15
78,16
78,25
78,29
78,49
78,52
79,45
79,47
79,55
80,8
80,31
80,33
80,54
81,1
81,11
81,20
81,27
81,29
81,36
81,37
82,22
82,24
82,32
82,46
82,47
82,48
83,6
83,15
83,16
83,23
83,29
83,37
83,45
84,1
84,8
84,26
84,27
84,32
84,42
84,45
85,5
85,7
85,45
85,57
86,9
86,14
86,16
86,38
86,52
87,2
87,6
87,37
87,48
88,1
88,8
88,9
88,24
88,38
88,45
88,49
89,10
89,18
89,31
89,36
89,52
89,56
90,1
90,6
90,15
91,2
91,50
91,51
91,54
91,55
92,48
92,55
93,11
93,57
94,31
94,35
94,38
94,47
94,48
94,53
94,55
95,3
95,10
95,12
95,54
96,7
96,22
96,50
97,9
97,11
97,20
97,51
98,1
98,7
98,26
98,48
99,4
99,5
