product_id,crude_protein_pct,crude_fat_pct,crude_fiber_pct,crude_ash_pct,moisture_pct,calcium_pct,phosphorus_pct,sodium_pct
1,10.3,5.6,0.7,1.2,74.5,,,0.4
2,28.2,16.5,2.6,8.7,11.7,1.7,1.4,0.3
3,22.9,9.5,4.2,8.4,11.7,1.0,1.2,0.4
4,23.0,11.2,4.8,6.1,8.4,0.7,0.6,0.6
5,31.3,16.3,4.8,6.8,9.6,1.5,0.7,0.5
6,10.0,5.9,0.6,1.7,76.9,,0.7,
7,29.8,16.1,3.2,8.5,9.6,,1.0,0.2
8,29.9,17.4,5.0,8.3,9.4,1.1,0.8,0.4
10,31.4,9.8,2.2,7.7,11.6,,,
11,23.4,9.8,3.0,5.1,10.0,2.0,1.1,
12,33.4,16.9,3.2,5.9,8.8,,,
13,10.7,3.2,1.0,1.5,79.6,,,0.2
14,31.4,15.4,2.4,8.8,11.1,1.0,1.4,0.4
15,23.9,14.1,4.3,5.3,8.6,1.0,1.0,0.3
16,22.5,13.4,4.5,5.1,10.5,0.8,1.4,
17,22.7,11.2,4.3,6.8,11.5,,1.6,0.5
18,25.9,15.1,4.3,6.5,9.5,1.9,,0.5
19,25.8,9.4,3.0,8.6,11.2,,0.7,
21,8.7,3.3,0.9,1.4,75.1,,1.1,0.2
22,23.4,15.9,2.8,8.7,9.1,,,0.1
23,10.4,2.4,1.2,1.3,78.5,0.8,0.7,0.3
25,26.7,14.5,2.9,8.7,8.4,1.2,1.3,0.3
26,30.0,10.6,4.0,5.7,10.1,1.9,0.9,0.2
28,33.6,17.4,3.8,8.1,11.4,1.3,,
29,11.6,2.9,1.1,2.0,78.0,1.8,0.8,0.4
30,23.7,12.4,3.6,5.6,8.2,1.7,,0.4
33,23.7,11.0,4.6,6.5,8.8,1.3,,0.4
36,29.4,9.9,2.7,6.2,10.4,1.2,0.5,
41,28.0,8.4,4.3,8.8,9.3,0.6,1.4,0.5
42,8.5,4.6,0.6,2.2,71.9,1.5,,0.5
43,30.2,9.3,2.3,8.2,11.1,,0.9,0.2
44,26.1,16.4,4.2,7.5,11.0,1.2,,0.2
45,11.9,3.5,1.3,1.4,77.0,1.0,,0.2
46,31.6,16.6,3.6,8.6,8.8,1.9,1.5,0.3
47,10.4,2.0,1.0,2.9,75.4,1.8,1.4,
48,29.8,9.4,3.5,7.1,8.1,1.6,,0.2
49,28.6,14.4,4.0,6.8,10.7,1.3,,0.2
51,28.5,10.1,2.7,7.6,10.9,,1.5,
52,11.4,5.5,0.6,1.8,72.2,0.9,,0.3
53,28.4,16.1,3.2,5.2,8.3,0.7,,0.4
54,26.0,9.7,4.2,8.3,11.7,,0.7,0.4
55,28.9,9.3,2.2,8.2,9.6,1.3,0.9,
56,22.1,9.3,4.5,8.0,8.3,,1.5,0.2
57,11.2,4.1,1.2,2.6,79.7,,,0.1
58,29.1,17.0,4.6,7.4,11.6,1.1,,
59,31.5,8.3,4.9,6.3,11.7,1.0,1.4,
60,23.6,12.4,2.1,8.1,9.0,1.1,,0.1
61,11.5,3.4,0.9,2.4,74.7,1.1,0.6,
62,31.7,9.7,2.4,7.5,10.8,1.5,,0.2
63,24.0,14.0,4.9,6.4,10.7,1.8,1.4,0.2
66,11.0,4.0,0.8,1.9,79.1,,1.3,0.2
68,22.1,9.1,4.1,8.2,8.0,1.4,1.0,0.4
69,11.8,4.8,0.6,3.0,78.8,1.7,,0.5
70,10.8,4.4,1.4,2.0,72.5,,,0.4
71,31.0,16.5,4.9,6.1,10.4,,1.5,0.3
72,30.9,16.8,4.1,7.7,10.5,,,0.5
73,28.1,16.0,2.3,5.9,8.2,1.4,,0.3
74,25.5,14.5,3.5,5.2,8.1,1.6,1.2,
80,32.5,15.5,3.0,6.0,11.4,,,
81,32.2,14.4,2.1,6.8,9.8,,,
82,22.0,16.3,4.3,8.0,8.9,1.3,0.9,
83,22.9,11.5,4.8,8.8,9.7,,0.9,0.6
86,30.6,16.5,4.2,6.6,11.1,,,0.6
88,22.6,8.6,4.2,6.3,9.1,1.4,0.7,
89,24.2,8.1,3.4,8.5,9.3,1.2,,0.3
90,30.0,13.0,2.6,8.6,8.1,1.0,,0.2
91,9.3,4.1,0.5,1.9,75.2,,1.4,
92,32.1,14.0,4.6,7.0,11.0,,0.7,0.4
93,25.3,17.2,4.2,6.2,9.8,2.0,,0.2
94,10.5,5.6,0.9,1.3,78.9,1.2,1.3,
95,26.8,8.6,3.6,5.8,11.7,,1.5,
96,29.2,9.8,4.3,7.0,10.6,,1.3,0.4
98,33.8,10.0,4.3,6.8,9.1,1.3,,
99,10.6,2.9,1.2,1.3,79.0,,0.6,0.5
100,23.3,12.7,3.1,5.5,8.4,,1.3,0.6
101,28.7,15.4,3.2,7.7,11.1,,,
102,23.8,9.0,3.5,8.1,10.7,,0.9,0.4
103,32.9,10.2,4.1,8.0,11.2,1.7,,0.1
104,11.0,3.2,0.6,1.9,77.9,1.1,,0.4
105,29.2,13.4,3.6,7.3,8.5,,0.9,0.4
106,30.3,10.9,4.4,5.1,10.2,0.6,,0.5
107,11.0,3.5,0.9,2.6,78.2,,,0.4
108,27.6,15.0,3.0,8.0,9.1,1.5,,
109,31.0,13.8,3.7,6.3,9.3,1.7,,0.1
110,25.9,15.5,4.0,8.6,11.3,,,0.5
111,32.2,9.6,3.9,5.6,9.4,0.9,1.0,
112,10.3,4.5,1.1,1.5,72.7,1.4,0.9,0.5
113,24.2,17.8,3.1,8.7,8.0,,1.0,0.4
114,27.2,12.7,4.5,5.8,10.9,1.5,,0.2
115,29.6,8.2,3.6,7.1,8.9,1.2,0.5,0.5
116,27.9,16.6,2.4,5.5,10.0,,1.0,0.2
119,22.6,12.4,2.1,6.1,9.4,,,
120,28.4,9.6,4.2,8.7,11.9,1.3,,0.2
121,10.1,4.1,0.5,3.0,78.4,0.9,,0.5
122,26.1,15.3,3.6,5.8,11.9,,0.9,0.2
123,23.4,14.7,4.0,8.2,8.9,0.7,,0.3
124,23.0,13.4,3.9,6.9,9.0,1.3,,0.6
125,9.6,3.2,0.6,2.3,74.0,,,
126,28.8,11.6,3.0,9.0,10.1,0.7,,0.6
127,27.3,14.7,3.4,8.0,9.9,0.7,,
128,26.5,16.9,3.0,8.9,11.2,1.9,,0.5
129,30.6,12.1,3.6,6.9,10.2,1.3,0.9,0.5
130,31.2,13.9,4.6,7.9,8.9,1.9,,0.4
131,27.6,15.8,2.6,6.3,9.7,1.1,,
132,30.8,14.3,4.9,7.5,10.3,,,0.4
133,32.1,13.5,3.5,6.4,9.2,,,0.5
134,24.1,12.1,2.3,6.3,9.6,0.9,,0.3
135,25.2,12.6,3.0,8.2,9.0,1.7,,0.2
136,30.9,17.5,4.6,6.0,9.1,,,
137,27.0,11.9,4.8,8.7,11.5,1.7,,0.2
138,24.4,12.3,2.0,8.4,9.2,,1.5,0.2
140,26.9,12.1,2.1,6.7,9.5,1.3,0.6,0.1
141,33.0,13.4,2.4,7.2,8.4,0.8,1.3,0.3
142,31.9,13.7,2.6,6.9,10.0,1.2,,0.4
143,27.3,16.3,2.3,6.6,10.9,0.8,1.3,
144,10.9,4.7,1.5,2.1,70.3,1.7,0.7,
145,29.1,8.5,3.5,6.1,11.4,,,0.4
146,26.8,14.6,4.6,7.0,9.8,1.2,0.6,0.1
147,29.1,8.3,3.1,7.3,11.2,0.6,0.7,0.3
148,25.4,9.1,3.2,6.4,11.1,,,0.4
149,9.1,4.5,0.6,1.5,81.7,0.8,1.1,
