purchase_id,rating,body,is_holdout,reviewed_at
1,5,구름에게 주려고 첨가물이 적은 걸 찾다가 샀어요. 봉지 소리만 나도 달려옵니다. 알갱이가 단단해 오래 씹어요. 덩치가 있어 양이 금방 줄어요. 바로 재구매했습니다.,0,2026-04-02 23:57:41
2,4,탄이에게 주려고 관절이 약해 보여 걱정이었어요. 그릇을 비우는 걸 보니 마음이 놓여요. 한창때라 그런지 급여량이 넉넉히 필요해요. 다음에도 살 것 같아요.,0,2026-08-24 03:03:50
3,1,탄이에게 주려고 주식을 바꿔볼까 해서 골랐어요. 냄새만 맡고 돌아서네요. 보관이 편한 점이 좋아요. 대구살·옥수수전분 들어간 게 마음에 들어서 골랐어요. 다른 제품을 다시 찾아봐야겠어요.,0,2026-08-14 18:15:27
4,5,몽이에게 주려고 양치를 싫어해서 대신할 걸 찾았어요. 봉지 소리만 나도 달려옵니다. 한창때라 그런지 급여량이 넉넉히 필요해요. 호밀이 들어간 걸 먹으면 긁어서 성분표부터 봤습니다. 바로 재구매했습니다.,0,2026-04-18 00:09:10
5,5,별이에게 주려고 양치를 싫어해서 대신할 걸 찾았어요. 봉지 소리만 나도 달려옵니다. 한 봉지로 같이 먹입니다. 한창때라 그런지 급여량이 넉넉히 필요해요. 주변에도 추천하고 있어요.,0,2026-03-05 16:54:47
6,2,코코에게 주려고 신장 수치가 걱정돼서요. 억지로 먹이는 느낌이라 아쉬워요. 알갱이가 단단해 오래 씹어요. 한창때라 그런지 급여량이 넉넉히 필요해요. 곤충단백 알레르기가 있어 원료를 하나하나 확인하고 샀어요. 완두단백·글루코사민 배합이라길래 믿고 샀어요. 재구매는 조금 더 고민해보려고요.,0,2026-04-25 19:55:23
7,1,아톰에게 주려고 수제라 믿음이 가서 골랐어요. 거의 입도 안 댔어요. 바삭해서 손에 묻지 않아요. 한 번에 먹기 딱 좋은 크기예요. 한창때라 그런지 급여량이 넉넉히 필요해요. 다른 제품을 다시 찾아봐야겠어요.,0,2026-08-25 14:28:46
8,5,단추에게 주려고 살이 붙어서 고민하다 골랐어요. 봉지 소리만 나도 달려옵니다. 바삭해서 손에 묻지 않아요. 덩치가 있어 양이 금방 줄어요. 우유이 들어간 걸 먹으면 긁어서 성분표부터 봤습니다. 돼지고기·우육분 들어간 게 마음에 들어서 골랐어요. 주변에도 추천하고 있어요.,0,2025-10-27 07:35:26
9,4,베리에게 주려고 주식을 바꿔볼까 해서 골랐어요. 그릇을 비우는 걸 보니 마음이 놓여요. 알갱이가 단단해 오래 씹어요. 한 번에 먹기 딱 좋은 크기예요. 나이가 있어 부드러운 쪽을 신경 쓰게 되네요. 다음에도 살 것 같아요.,0,2026-08-25 23:59:59
10,3,가을에게 주려고 주식을 바꿔볼까 해서 골랐어요. 그럭저럭 먹는 편이에요. 입이 작은 아이인데 알맞은 크기예요. 가격을 보고 재구매를 정하려고요.,0,2025-09-25 12:47:33
11,3,슈슈에게 주려고 주식을 바꿔볼까 해서 골랐어요. 그럭저럭 먹는 편이에요. 부드러워서 잘 넘겨요. 가격을 보고 재구매를 정하려고요.,1,2026-08-25 23:59:59
