purchase_id,rating,body,is_holdout,reviewed_at
1,4,순이에게 멍푸드 수제간식 04호을 급여해봤어요. 꾸준히 먹이고 있어요. 다음에도 구매할 것 같아요. 다음 주문 때도 비슷한 제품을 비교해볼 생각이에요. 2026년 05월에 1개 주문했어요. 후기 번호는 1번입니다.,0,2026-05-29 00:00:00
2,4,감자에게 펫키친 트릿 01호을 급여해봤어요. 꾸준히 먹이고 있어요. 다음에도 구매할 것 같아요. 기대했던 것보다 기호성이 괜찮았어요. 2026년 02월에 1개 주문했어요. 후기 번호는 2번입니다.,0,2026-02-07 00:00:00
3,5,감자에게 바크앤조이 수제간식 03호을 급여해봤어요. 정말 잘 먹어요. 다음에도 재구매할 예정입니다. 며칠 동안 상태를 지켜보니 특별한 문제는 없었어요. 2026년 05월에 2개 주문했어요. 후기 번호는 3번입니다.,0,2026-05-31 00:00:00
4,3,아톰에게 냥푸드 사료 07호을 급여해봤어요. 기호성은 보통이고 가격 대비 괜찮은 편이에요. 기대했던 것보다 기호성이 괜찮았어요. 2025년 05월에 1개 주문했어요. 후기 번호는 4번입니다.,0,2025-05-04 00:00:00
5,2,아톰에게 와일드포 덴탈껌 01호을 급여해봤어요. 반응이 보통이고 특별한 장점은 못 느꼈어요. 기대했던 것보다 기호성이 괜찮았어요. 2025년 10월에 3개 주문했어요. 후기 번호는 5번입니다.,0,2025-10-09 00:00:00
6,5,아톰에게 헬시포 간식 02호을 급여해봤어요. 정말 잘 먹어요. 다음에도 재구매할 예정입니다. 포장 상태도 괜찮고 급여하기 편했어요. 2025년 11월에 1개 주문했어요. 후기 번호는 6번입니다.,0,2025-11-17 00:00:00
7,5,달이에게 와일드포 수제간식 02호을 급여해봤어요. 정말 잘 먹어요. 다음에도 재구매할 예정입니다. 기대했던 것보다 기호성이 괜찮았어요. 2025년 06월에 3개 주문했어요. 후기 번호는 7번입니다.,0,2025-06-17 14:25:50
8,4,달이에게 멍푸드 수제간식 04호을 급여해봤어요. 잘 먹고 속도 편해 보여서 만족해요. 기대했던 것보다 기호성이 괜찮았어요. 2026년 05월에 1개 주문했어요. 후기 번호는 8번입니다.,0,2026-05-10 02:27:57
9,5,달이에게 바크앤조이 수제간식 03호을 급여해봤어요. 밥 시간마다 기다릴 정도로 좋아해요. 아주 만족합니다. 며칠 동안 상태를 지켜보니 특별한 문제는 없었어요. 2025년 06월에 1개 주문했어요. 후기 번호는 9번입니다.,0,2025-06-17 14:25:50
10,4,달이에게 도그밀 사료 03호을 급여해봤어요. 꾸준히 먹이고 있어요. 다음에도 구매할 것 같아요. 기대했던 것보다 기호성이 괜찮았어요. 2025년 11월에 1개 주문했어요. 후기 번호는 10번입니다.,0,2025-11-19 00:00:00
11,3,달이에게 냥푸드 덴탈껌 06호을 급여해봤어요. 기호성은 보통이고 가격 대비 괜찮은 편이에요. 며칠 동안 상태를 지켜보니 특별한 문제는 없었어요. 2025년 12월에 1개 주문했어요. 후기 번호는 11번입니다.,0,2025-12-06 00:00:00
12,4,달이에게 헬시포 트릿 04호을 급여해봤어요. 잘 먹고 속도 편해 보여서 만족해요. 기대했던 것보다 기호성이 괜찮았어요. 2026년 03월에 1개 주문했어요. 후기 번호는 12번입니다.,0,2026-03-11 22:59:50
13,4,밤비에게 캣테이블 사료 11호을 급여해봤어요. 잘 먹고 속도 편해 보여서 만족해요. 첫 급여라 걱정했는데 적응이 빨랐어요. 2025년 06월에 1개 주문했어요. 후기 번호는 13번입니다.,0,2025-06-28 00:00:00
14,5,밤비에게 와일드포 수제간식 07호을 급여해봤어요. 밥 시간마다 기다릴 정도로 좋아해요. 아주 만족합니다. 첫 급여라 걱정했는데 적응이 빨랐어요. 2026년 04월에 1개 주문했어요. 후기 번호는 14번입니다.,0,2026-04-14 00:00:00
15,4,베리에게 멍푸드 사료 09호을 급여해봤어요. 꾸준히 먹이고 있어요. 다음에도 구매할 것 같아요. 포장 상태도 괜찮고 급여하기 편했어요. 2025년 11월에 3개 주문했어요. 후기 번호는 15번입니다.,0,2025-11-15 05:19:47
16,5,가을에게 멍푸드 트릿 01호을 급여해봤어요. 밥 시간마다 기다릴 정도로 좋아해요. 아주 만족합니다. 다음 주문 때도 비슷한 제품을 비교해볼 생각이에요. 2026년 02월에 1개 주문했어요. 후기 번호는 16번입니다.,0,2026-02-01 00:00:00
17,5,망고에게 캣테이블 사료 08호을 급여해봤어요. 밥 시간마다 기다릴 정도로 좋아해요. 아주 만족합니다. 다음 주문 때도 비슷한 제품을 비교해볼 생각이에요. 2026년 05월에 2개 주문했어요. 후기 번호는 17번입니다.,0,2026-05-25 20:11:17
18,3,망고에게 캣테이블 간식 01호을 급여해봤어요. 기호성은 보통이고 가격 대비 괜찮은 편이에요. 며칠 동안 상태를 지켜보니 특별한 문제는 없었어요. 2026년 05월에 5개 주문했어요. 후기 번호는 18번입니다.,0,2026-05-25 20:11:17
19,5,밤비에게 와일드포 수제간식 01호을 급여해봤어요. 정말 잘 먹어요. 다음에도 재구매할 예정입니다. 첫 급여라 걱정했는데 적응이 빨랐어요. 2025년 11월에 1개 주문했어요. 후기 번호는 19번입니다.,0,2025-11-29 00:00:00
